wallet,seerscore,rank_overall,raw_seer_score,pnl_usd_approx,volume_usd,trade_count,active_days
0x48Ae93E59028F2c67E7535573B7359642f3A85C4,7,161,0.9109216797633614,110174.04646992487,535091.0376042452,303,13
0x64c1a51CA98f29C47517546BBdA6Ae505702dbeC,7,162,0.9073282885154565,73948.48521328079,3006178.519792301,1493,64
0x58a4a13d2b427e81c1d65393e4792aD934775f32,7,163,0.9068608094468855,71053.08379063837,782923.1598430085,1434,105
0xC2363f45BE17b7A7D61B86EE15FA1616Fc29a47F,7,164,0.905406232953851,45803.94699004913,3763718.0169161838,9298,521
0x4f0dd7fD254d1145B0272e7D4C8d6fD00d117492,7,165,0.9035371850454227,117509.10847,287861.3364,250,8
0x0435c4f3f81821697377c3e51445a5AF8d217ffc,7,166,0.9032640739002911,126752.8971208,285355.02781999996,153,8
0xED883392A38a09eFC3c767389A2E2A33414e2ce9,7,167,0.8992276688826614,113310.50248100002,151143.22950000002,252,11
0xd197e0A8249A9f1f503f2DCf23044100D7B613F0,7,168,0.881145630686674,100773.66706774925,6690668.742790001,657,6
0xf4f3476Be6e5B2de3A7E1bc849ff4B047bEF330d,7,169,0.8752477068478055,62110.21383080224,1880374.0009687776,2358,123
0x6F72FeA92844C87b9D6683C415e7cAeF70eE83ad,7,170,0.8637455028505967,62495.41405607002,2219678.222728231,3304,55
0xBb47319759DaBdeB0918ca38705a4f80B9d4069D,7,171,0.8636050497526538,58177.70945602708,1151094.3176730587,2680,170
0x42Cb730fd89AB159c1B85fBB5412f2e7DA318412,7,172,0.8613986605928228,60417.99609408519,2217627.6588785397,2264,145
0xba169137788e4f1b86d2d22a45986191d86Ae4C4,7,173,0.8509550097300986,77140.80966237972,806903.2527789748,993,35
0xC24EeAc1375c0B20B67091C57d561c7371CFd5D2,7,174,0.8499396867925773,65401.05427804326,1086576.7518201764,1861,72
0xDD42ffB8AaBe818F7538D93c175a9F9E2DA9990d,7,175,0.849016326412654,60462.49645311334,1647356.6045058435,1966,152
0x915bdBE3d6c8D66a8cA8dDf1456d53a26892276d,7,176,0.8484966387624058,46770.35274299078,2177546.6161104124,8306,217
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,7,177,0.8458417220082227,67689.51794979343,4868555.857224785,1361,79
0x7BB5686910e22C4348265Ab86E38B06F7579db04,7,178,0.8329287184306531,145787.37631553394,382364.5065876415,60,3
0x05b3242BFD05A0F46fa97bbf4AE135eB795b71ed,7,179,0.8266200982064354,59480.082410705414,1119634.1662085038,3606,47
0xc7CE25b3888614877dBEa9A030dFE7171fAE3AD3,7,180,0.8239809032620294,116328.86052691004,317340.8432900001,124,9
0x11657c4aF14822DA1A29b6A906Dcffbc865489E9,7,181,0.8140869699144455,107251.28482892997,1224274.44085,223,7
0x23667B70fc50D98CA3699F516B5D711486E9C6AD,7,182,0.8102044229357481,85642.48913269967,184262.51028618746,332,39
0xD5fA1668947efD7914C13E0b83876435baeb90C0,7,183,0.805736633526114,59470.03535586996,885683.3878300001,3309,40
0x571dBc37082936B2Cb4a26E0D85ca835195D19d6,7,184,0.8034638724764624,127888.73332466,303450.9325000001,91,4
0x2A21da2E20FA5B69381D7d44BD73f879C1AeFB6c,7,185,0.7953951412050662,105715.76111971139,405829.3072845318,179,9
0x1d04d5B13bA31cA6F3B9526DEd9Cfe43519ceD05,7,186,0.7933716039951899,80011.47801025149,840738.1462184461,466,36
0x85b8b010aC6e24a23625621724A15513C80D6b6a,7,187,0.7878482702235655,59477.83793690504,1174318.3681059016,1300,148
0x509587cBb541251c74f261DF3421F1fCC9fDc97c,7,188,0.7757298089829587,58673.60386054946,1455981.9397091866,1453,119
0x5FC814d89C2AA979bd987add20d6eb39eB0439Ef,7,189,0.7721378069988111,56742.27278278958,1031608.2337487775,1554,145
0x128A251f2300694AE6eA9D77E076eA8EA4E097c2,7,190,0.7654034136608542,100858.3353953201,235463.6599896801,200,8
0x332F6e6b727C5737Daf97CB9A032883eda341EE8,7,191,0.7629694486472309,113243.92433974697,299933.94999751,166,3
0x6423B7a1769515d92f7068DA60AB5E9cE81eCb40,7,192,0.755413251371699,43239.171802031444,1492062.0846974987,6368,202
0x9f2a558F07cBb72E53D00DDFFFaD8F8d907Ec11A,7,193,0.7529910921173819,126240.17492136601,900074.7920392787,96,2
0xbaB5CcF8609238d266346629d833ebfdFfa43754,7,194,0.7519367736887648,76655.72936348648,358425.1360614111,414,38
0x76ccD18183a933A4a8E6Aa5493A7e629479E9dcb,7,195,0.7517093958111756,110447.60819836843,522456.21972649475,149,4
0x7523cafCEe7BCf2dB9A79d80e0D79b88a9a54C4C,7,196,0.748375601354458,57833.290746944076,4854793.7276019985,1651,75
0x2A02930F8897bB987007B23A3E081D2830d64d30,7,197,0.7451584183379002,53460.359019070005,2483120.962209998,1950,127
0xba00940292f489BC655FbBE5ba1e29ac3d0808fb,7,198,0.7361633728338648,45878.637823291094,2498352.967932828,3795,191
0xD9Bf7b3d5381d1eA53DcF2d76e45B3Fb7c84a964,7,199,0.736148608467952,86887.21477155524,490165.00083308585,259,17
0x0C0E270CF879583d6a0142Fc817e05b768d0434e,7,200,0.7278285837581022,56446.01926183904,1827079.3272364012,1368,99
0x00885465285511A69a045C14BE134feeF7607636,7,201,0.7230366969735401,53596.647638712566,1092983.6770977871,1703,112
0x4df81d35F375124A59dA17c91036D484261D1393,7,202,0.7221997102700015,86560.06496492896,250689.2219831901,253,15
0x12718Bd46FEA5BAcf68548d4bE30E8692E9Eeb5a,7,203,0.7209891419121739,101459.12924504,553382.42992,108,11
0xF9E60F3fD62105dAc25F15643979BD59EEFB53EF,7,204,0.717060213455909,117822.91653139776,261813.080314563,86,3
0xF22074c8eA28A3c4567051736344403c52791C08,7,205,0.7114430274109477,102994.55722371003,1007995.65597,144,5
0x7D8Aa70e38d7f55Dc811679649d0Ad499941048F,7,206,0.7090211904071619,69553.76454119998,585529.28784,541,37
0xba2cB3168709dc3880243586448D6D67afc2bf17,7,207,0.7067169417277713,83101.59014671,369149.47018714284,223,23
0x6139C42E48Cf190e67a0A85D492413b499336b7A,7,208,0.6979738537400937,49944.318480976646,1790558.2665000467,1905,138
0x3c918A8EF8C379304F744592120cBb4D76149aF7,7,209,0.6840700832378102,49139.600631136724,1711130.908138296,2066,117
0xa8e0F6CD46306617F7b9d0897fef215fb02f1Dd2,7,210,0.6839386622378191,80548.33484398498,244997.71274000002,288,15
0x88BE136C40eE4151eFc26D08caB7ADD22687AF57,7,211,0.6797000599394238,37900.97946447072,1769098.2495898874,7302,220
0x3649EBF22E9280D2C63B86f8Cb7F6FdFe4E4EeB2,7,212,0.6778231281945555,58866.86974090999,768535.348129473,708,91
0x6356FB47642a028BC09dF92023C35a21a0b41885,7,213,0.6764049862875925,35694.11575074139,5849242.818147977,9035,281
0xb1a279aDB096d316b1B168993e8ED976d3Cd372a,7,214,0.6751858225655363,60150.191938911084,1037020.3268595203,756,62
